Company,LTP (₹),Market Cap (Cr),Volume,Links,Ticker
BF Investment Ltd.,451.65,"1,701","43,826",https://www.etmoney.com/stocks/bf-investment-ltd/2178,BFINVEST
NIIT Ltd.,125.36,"1,700","6,34,756",https://www.etmoney.com/stocks/niit-ltd/648,NIITLTD
Kalyani Investment Company Ltd.,"3,870.80","1,690","7,069",https://www.etmoney.com/stocks/kalyani-investment-company-ltd/567,KICL
ideaForge Technology Ltd.,391.65,"1,687","1,56,117",https://www.etmoney.com/stocks/ideaforge-technology-ltd/4391,IDEAFORGE
Hind Rectifiers Ltd.,980.95,"1,684","17,149",https://www.etmoney.com/stocks/hind-rectifiers-ltd/724,HIRECT
Sangam (India) Ltd.,334.50,"1,681","10,717",https://www.etmoney.com/stocks/sangam-india-ltd/2031,SANGAMIND
Themis Medicare Ltd.,182.46,"1,679","5,32,242",https://www.etmoney.com/stocks/themis-medicare-ltd/2079,THEMISMED
Hindware Home Innovation Ltd.,200.74,"1,679","9,91,056",https://www.etmoney.com/stocks/hindware-home-innovation-ltd/2131,HINDWAREAP
Centum Electronics Ltd.,"1,292.30","1,667","26,360",https://www.etmoney.com/stocks/centum-electronics-ltd/2457,CENTUM
Indian Hume Pipe Company Ltd.,316.25,"1,666","51,219",https://www.etmoney.com/stocks/indian-hume-pipe-company-ltd/1048,INDIANHUME
Rama Steel Tubes Ltd.,10.70,"1,663","75,20,265",https://www.etmoney.com/stocks/rama-steel-tubes-ltd/1151,RAMASTEEL
Salzer Electronics Ltd.,938.85,"1,660","1,55,020",https://www.etmoney.com/stocks/salzer-electronics-ltd/2503,SALZERELEC
Apcotex Industries Ltd.,320.10,"1,660","14,907",https://www.etmoney.com/stocks/apcotex-industries-ltd/1636,APCOTEXIND
HMA Agro Industries Ltd.,33.13,"1,659","3,45,927",https://www.etmoney.com/stocks/hma-agro-industries-ltd/4381,HMAAGRO
Vakrangee Ltd.,15.31,"1,658","2,09,76,006",https://www.etmoney.com/stocks/vakrangee-ltd/2847,VAKRANGEE
SML Isuzu Ltd.,"1,144.45","1,656","18,291",https://www.etmoney.com/stocks/sml-isuzu-ltd/1661,SMLISUZU
Himatsingka Seide Ltd.,131.70,"1,656","11,89,096",https://www.etmoney.com/stocks/himatsingka-seide-ltd/1603,HIMATSEIDE
Vardhman Special Steels Ltd.,202.22,"1,652","76,405",https://www.etmoney.com/stocks/vardhman-special-steels-ltd/2622,VSSL
Steel Cast Ltd.,813.65,"1,647","11,268",https://www.etmoney.com/stocks/steel-cast-ltd/2411,STEELCAS
Fusion Finance Ltd.,162.55,"1,642","3,73,834",https://www.etmoney.com/stocks/fusion-finance-ltd/4245,FUSION
Rupa & Company Ltd.,206.40,"1,641","1,13,987",https://www.etmoney.com/stocks/rupa-and-company-ltd/2730,RUPA
Southern Petrochemicals Industries Corporation Ltd.,80.51,"1,640","8,78,314",https://www.etmoney.com/stocks/southern-petrochemicals-industries-corporation-ltd/1288,SPIC
Navkar Corporation Ltd.,108.78,"1,637","6,82,361",https://www.etmoney.com/stocks/navkar-corporation-ltd/1092,NAVKARCORP
Den Networks Ltd.,34.30,"1,637","6,74,624",https://www.etmoney.com/stocks/den-networks-ltd/967,DEN
Dredging Corporation Of India Ltd.,578.65,"1,620","70,153",https://www.etmoney.com/stocks/dredging-corporation-of-india-ltd/2712,DREDGECORP
SMS Pharmaceuticals Ltd.,190.97,"1,617","93,780",https://www.etmoney.com/stocks/sms-pharmaceuticals-ltd/2792,SMSPHARMA
NDR Auto Components Ltd.,677.10,"1,611","17,810",https://www.etmoney.com/stocks/ndr-auto-components-ltd/1146,NDRAUTO
Syncom Formulation (India) Ltd.,16.97,"1,595","19,88,824",https://www.etmoney.com/stocks/syncom-formulation-india-ltd/2463,SYNCOMF
Satin Creditcare Network Ltd.,144.16,"1,593","1,74,325",https://www.etmoney.com/stocks/satin-creditcare-network-ltd/1846,SATIN
Stanley Lifestyles Ltd.,278.20,"1,589","1,11,729",https://www.etmoney.com/stocks/stanley-lifestyles-ltd/4764,STANLEY
Man Industries (India) Ltd.,245.40,"1,589","3,18,973",https://www.etmoney.com/stocks/man-industries-india-ltd/135,MANINDS
GOCL Corporation Ltd.,319.60,"1,584","85,198",https://www.etmoney.com/stocks/gocl-corporation-ltd/949,GOCLCORP
Tarsons Products Ltd.,296.85,"1,579","44,168",https://www.etmoney.com/stocks/tarsons-products-ltd/3929,TARSONS
